state,highway,exit,latitude,longitude
AR,I49,16,33.24916295,-93.8852682
AR,I49,24,34.435645025,-94.096121275
AR,I49,18,33.26889025,-93.89957050000001
AR,I49,6,33.120514650000004,-93.89338509999999
AR,I49,4,33.07971725,-93.90039605
AR,I49,20,35.4855468,-94.2437059
AR,I49,69,36.13845275,-94.18281145
AR,I49,34,35.67439185,-94.16536085
AR,I49,21,35.4977518,-94.24386295
AR,I49,26,33.353491649999995,-93.996792
AR,I49,37,33.4725417,-93.987592
AR,I49,37A,33.4787429,-93.9866815
AR,I49,37B,33.4842783,-93.9868614
AR,I49,41,33.516738200000006,-94.01065795
AR,I49,42,33.517279,-94.0366485
AR,I49,241,32.9475143,-93.8987817
AR,I49,245,32.9973429,-93.90888190000001
AR,I49,70,36.15389795,-94.1864668
AR,I49,102,36.46510225,-94.37851895
AR,I49,100,36.43239385,-94.36909465
AR,I49,97,36.4230657,-94.32035164999999
AR,I49,88B,36.382033,-94.1757793
AR,I49,91,36.41458195,-94.22186245
AR,I530,41,34.181438,-92.04116099999999
AR,I530,43,34.17114695,-92.00668815
AR,I530,30,34.308011500000006,-92.1407955
